Churn,Contract,CustomerID,Dependents,DeviceProtection,Gender,InternetService,MonthlyCharges,MultipleLines,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,Tenure,TotalCharges
No,Two year,3152,No,No internet service,Male,No,24.15,Yes,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,68,1498.85
No,Month-to-month,3153,No,No,Female,DSL,50.1,Yes,No,No,Yes,No,Electronic check,Yes,0,No,No,No,1,50.1
No,Month-to-month,3154,No,Yes,Female,Fiber optic,74.6,No,No,No,Yes,Yes,Electronic check,Yes,0,No,No,No,25,1797.75
No,Two year,3155,Yes,No internet service,Female,No,19.75,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,24,498.1
Yes,Month-to-month,3156,No,No,Female,Fiber optic,85.0,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,No,No,30,2624.25
Yes,Month-to-month,3157,No,No,Female,Fiber optic,80.55,No,No,No,No,No,Electronic check,Yes,0,Yes,No,No,2,184.1
No,One year,3158,No,Yes,Male,Fiber optic,106.8,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,51,5498.8
No,Two year,3159,Yes,Yes,Female,DSL,84.5,Yes,No,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,57,4845.4
No,Two year,3160,No,No internet service,Female,No,25.05,Yes,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,15,369.1
No,Two year,3161,Yes,Yes,Female,DSL,83.7,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,72,6096.9
Yes,Month-to-month,3162,No,Yes,Female,Fiber optic,75.8,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,2,160.75
No,Month-to-month,3163,No,Yes,Male,Fiber optic,96.6,Yes,Yes,No,No,Yes,Credit card (automatic),Yes,0,No,Yes,No,28,2684.35
Yes,Month-to-month,3164,No,Yes,Male,Fiber optic,98.5,Yes,No,No,Yes,Yes,Electronic check,Yes,1,Yes,Yes,No,29,3004.15
No,Two year,3165,Yes,Yes,Male,Fiber optic,101.1,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,Yes,Yes,70,6994.8
No,One year,3166,No,No internet service,Female,No,20.2,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,13,273.25
No,One year,3167,No,Yes,Female,Fiber optic,94.05,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,1,No,No,Yes,59,5483.9
Yes,Month-to-month,3168,No,No,Male,Fiber optic,95.25,Yes,No,No,Yes,Yes,Electronic check,Yes,1,Yes,Yes,No,13,1233.65
Yes,Month-to-month,3169,No,No,Male,Fiber optic,74.4,Yes,No,No,Yes,Yes,Mailed check,Yes,1,No,No,No,7,527.9
No,Two year,3170,No,Yes,Female,DSL,81.0,No,No,Yes,No,Yes,Mailed check,Yes,0,Yes,Yes,Yes,62,4985.9
No,One year,3171,No,Yes,Female,DSL,60.25,No,No,Yes,Yes,No,Electronic check,Yes,0,No,No,Yes,21,1258.35
No,Month-to-month,3172,No,Yes,Female,DSL,60.85,No,No,No,No,No,Electronic check,Yes,0,Yes,No,No,2,111.4
No,Month-to-month,3173,No,No,Female,DSL,43.95,No,No,No,No,No,Credit card (automatic),Yes,0,No,No,No,1,43.95
No,Month-to-month,3174,No,Yes,Male,Fiber optic,86.05,No,No,No,No,No,Electronic check,Yes,0,Yes,No,No,4,308.1
No,One year,3175,No,No internet service,Female,No,20.25,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,19,383.65
Yes,Month-to-month,3176,No,No,Female,Fiber optic,85.15,No,No,No,No,No,Electronic check,Yes,0,No,Yes,Yes,30,2555.9
No,Two year,3177,Yes,No internet service,Male,No,19.4,No,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,67,1284.2
No,Two year,3178,No,Yes,Male,Fiber optic,102.65,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,1,Yes,No,No,72,7550.3
No,Two year,3179,No,No internet service,Male,No,19.9,No,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,53,1110.05
No,One year,3180,No,No internet service,Female,No,19.55,No,No internet service,No internet service,No,No,Electronic check,Yes,0,No internet service,No internet service,No internet service,5,99.6
No,Two year,3181,No,Yes,Male,Fiber optic,95.5,No,Yes,No,Yes,Yes,Credit card (automatic),Yes,1,Yes,No,Yes,71,6707.15
No,One year,3182,Yes,Yes,Female,DSL,84.15,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,50,4164.4
No,Two year,3183,Yes,Yes,Male,Fiber optic,103.2,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,56,5873.75
No,Month-to-month,3184,No,No,Male,DSL,50.2,No,No,No,Yes,No,Credit card (automatic),Yes,0,No,No,Yes,2,109.25
Yes,Month-to-month,3185,No,Yes,Female,Fiber optic,88.55,Yes,No,No,Yes,No,Electronic check,Yes,1,Yes,No,No,2,179.25
Yes,Month-to-month,3186,Yes,No,Male,DSL,54.75,Yes,No,Yes,No,Yes,Electronic check,Yes,0,No,No,No,24,1338.15
No,Two year,3187,Yes,No internet service,Male,No,19.95,No,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,46,862.4
No,Two year,3188,No,Yes,Male,Fiber optic,116.25,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,71,8564.75
No,Month-to-month,3189,No,No,Female,DSL,31.2,No phone service,No,No,Yes,No,Electronic check,No,0,No,No,Yes,29,926.2
No,Two year,3190,Yes,No internet service,Male,No,24.45,Yes,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,69,1718.2
No,Two year,3191,No,Yes,Male,DSL,84.2,Yes,Yes,No,No,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,71,5956.85
Yes,Month-to-month,3192,No,No,Female,Fiber optic,91.3,No,No,No,Yes,No,Electronic check,Yes,1,Yes,Yes,No,1,91.3
No,Two year,3193,No,Yes,Male,DSL,85.65,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,Yes,Yes,56,4824.45
No,One year,3194,Yes,No internet service,Male,No,21.2,No,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,56,1238.65
Yes,Month-to-month,3195,No,No,Male,Fiber optic,79.5,No,No,No,Yes,No,Electronic check,Yes,0,No,Yes,No,1,79.5
No,One year,3196,No,No internet service,Female,No,25.55,Yes,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,28,672.2
No,Month-to-month,3197,Yes,No internet service,Female,No,20.2,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,19,382.2
No,Month-to-month,3198,No,No,Male,DSL,63.85,Yes,No,No,No,Yes,Electronic check,Yes,0,Yes,No,Yes,66,4264.6
No,One year,3199,Yes,Yes,Female,DSL,61.95,Yes,No,No,Yes,Yes,Mailed check,Yes,0,No,No,Yes,17,1070.7
No,Two year,3200,Yes,No internet service,Male,No,25.75,Yes,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,52,1345.85
No,One year,3201,No,No,Female,DSL,58.2,No,Yes,No,No,No,Electronic check,Yes,0,No,Yes,No,19,1045.25
No,One year,3202,No,Yes,Female,DSL,85.85,No,Yes,Yes,No,No,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,36,3003.55
Yes,Month-to-month,3203,No,No,Male,Fiber optic,70.1,No,No,No,Yes,Yes,Mailed check,Yes,1,No,No,No,7,467.55
No,One year,3204,Yes,Yes,Male,Fiber optic,104.9,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,No,Yes,72,7537.5
Yes,One year,3205,Yes,Yes,Male,Fiber optic,111.3,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,67,7482.1
No,One year,3206,No,Yes,Male,Fiber optic,99.85,No,Yes,No,Yes,No,Electronic check,Yes,1,Yes,Yes,No,34,3343.15
Yes,Month-to-month,3207,No,Yes,Male,Fiber optic,95.25,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,No,No,57,5427.05
Yes,Month-to-month,3208,No,Yes,Female,Fiber optic,86.25,No,No,No,Yes,Yes,Electronic check,Yes,0,No,Yes,No,7,587.1
Yes,Month-to-month,3209,No,Yes,Female,Fiber optic,100.8,Yes,No,No,Yes,Yes,Electronic check,Yes,1,Yes,Yes,No,1,100.8
No,Month-to-month,3210,No,No internet service,Male,No,19.55,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,8,161.15
No,Two year,3211,No,Yes,Female,Fiber optic,104.0,Yes,No,No,No,No,Electronic check,Yes,0,Yes,Yes,Yes,69,7028.5
No,One year,3212,No,Yes,Female,Fiber optic,104.4,Yes,No,Yes,Yes,Yes,Mailed check,Yes,0,Yes,Yes,No,50,5232.9
No,One year,3213,No,No internet service,Male,No,19.5,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,10,225.85
No,Two year,3214,Yes,No internet service,Female,No,25.25,Yes,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,12,274.7
Yes,Month-to-month,3215,No,No,Female,Fiber optic,86.3,No,Yes,No,Yes,No,Electronic check,Yes,0,Yes,No,No,14,1180.95
No,Two year,3216,No,Yes,Female,DSL,49.85,No phone service,No,Yes,Yes,Yes,Bank transfer (automatic),No,0,Yes,No,Yes,70,3370.2
No,Month-to-month,3217,No,Yes,Female,Fiber optic,108.95,Yes,No,Yes,Yes,No,Bank transfer (automatic),Yes,1,Yes,Yes,Yes,64,7111.3
No,Two year,3218,Yes,Yes,Female,DSL,89.9,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,66,5958.85
No,Two year,3219,Yes,Yes,Female,DSL,82.0,No,No,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,71,5999.85
No,Month-to-month,3220,No,No,Male,Fiber optic,89.95,No,No,No,No,No,Electronic check,Yes,1,Yes,Yes,No,20,1648.45
No,Two year,3221,No,No,Male,DSL,79.35,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,72,5753.25
No,Two year,3222,Yes,Yes,Female,DSL,64.05,No,Yes,Yes,No,Yes,Credit card (automatic),Yes,0,No,No,Yes,71,4492.9
No,Month-to-month,3223,Yes,Yes,Male,Fiber optic,101.15,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,38,3956.7
Yes,Month-to-month,3224,No,No,Female,Fiber optic,89.95,Yes,Yes,No,Yes,No,Electronic check,Yes,0,Yes,No,No,28,2625.55
Yes,Month-to-month,3225,No,No,Male,Fiber optic,76.45,No,Yes,No,Yes,Yes,Electronic check,Yes,1,No,No,No,17,1233.4
No,One year,3226,No,No,Male,DSL,39.1,No phone service,Yes,No,Yes,No,Electronic check,No,0,No,Yes,No,33,1309
No,Two year,3227,Yes,No,Female,DSL,34.6,No phone service,No,Yes,No,Yes,Mailed check,No,0,No,No,Yes,23,813.45
No,One year,3228,Yes,No internet service,Male,No,19.55,No,No internet service,No internet service,Yes,Yes,Electronic check,Yes,0,No internet service,No internet service,No internet service,58,1108.8
No,Two year,3229,No,No,Female,Fiber optic,104.45,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,Yes,Yes,70,7349.35
No,Month-to-month,3230,No,No,Male,Fiber optic,70.5,No,No,No,No,Yes,Electronic check,Yes,0,No,No,No,4,294.2
No,Two year,3231,Yes,No internet service,Male,No,20.35,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,45,929.2
Yes,Month-to-month,3232,No,No,Male,Fiber optic,70.0,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,10,740
No,Two year,3233,Yes,No internet service,Male,No,19.45,No,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,36,754.5
No,Month-to-month,3234,No,No,Male,DSL,69.9,No,Yes,Yes,Yes,No,Mailed check,Yes,0,No,Yes,Yes,54,3883.3
No,Two year,3235,Yes,No,Male,DSL,59.7,Yes,Yes,No,No,Yes,Mailed check,Yes,0,No,No,Yes,23,1414.2
No,One year,3236,Yes,Yes,Female,DSL,78.35,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,Yes,No,41,3211.2
No,Month-to-month,3237,No,No,Male,Fiber optic,71.45,No,No,No,Yes,No,Mailed check,Yes,1,No,No,No,5,371.6
No,One year,3238,Yes,Yes,Male,DSL,45.85,No phone service,Yes,No,Yes,Yes,Credit card (automatic),No,0,Yes,No,No,27,1246.4
No,Month-to-month,3239,No,No,Female,Fiber optic,95.85,No,No,No,Yes,No,Electronic check,Yes,0,Yes,Yes,Yes,1,95.85
No,Two year,3240,Yes,No,Female,DSL,35.7,No phone service,No,Yes,No,Yes,Credit card (automatic),No,0,No,No,Yes,67,2545.7
No,Two year,3241,Yes,Yes,Female,DSL,89.55,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,1,Yes,Yes,Yes,72,6448.85
No,Two year,3242,Yes,No internet service,Female,No,24.95,Yes,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,56,1468.9
No,One year,3243,Yes,No internet service,Male,No,24.85,Yes,No internet service,No internet service,No,Yes,Electronic check,Yes,0,No internet service,No internet service,No internet service,44,1013.6
No,Month-to-month,3244,No,No,Female,Fiber optic,100.8,Yes,Yes,No,Yes,Yes,Electronic check,Yes,1,Yes,Yes,No,66,6690.75
Yes,One year,3245,No,No,Female,DSL,64.4,Yes,Yes,Yes,Yes,No,Mailed check,Yes,0,No,No,Yes,34,2088.75
No,Two year,3246,No,Yes,Female,Fiber optic,105.35,Yes,No,No,No,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,69,7240.65
Yes,Month-to-month,3247,Yes,Yes,Female,Fiber optic,102.45,Yes,No,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,1,102.45
No,Two year,3248,No,No internet service,Female,No,19.65,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,40,830.25
No,Month-to-month,3249,Yes,No,Male,DSL,54.45,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,No,No,No,30,1588.7
No,Month-to-month,3250,No,No,Female,DSL,70.5,No,No,No,No,No,Mailed check,Yes,0,Yes,Yes,Yes,11,829.3
No,One year,3251,No,No internet service,Female,No,20.1,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,15,302.45
No,Month-to-month,3252,No,Yes,Male,DSL,69.35,No,No,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,11,712.25
No,One year,3253,Yes,No internet service,Female,No,19.8,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,64,1336.65
No,Two year,3254,No,Yes,Male,DSL,74.4,No,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,1,No,Yes,Yes,72,5360.75
No,Two year,3255,No,Yes,Male,Fiber optic,93.05,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,1,No,No,Yes,72,6735.05
No,Month-to-month,3256,Yes,No,Female,DSL,51.2,No,No,Yes,No,No,Mailed check,Yes,0,No,No,No,1,51.2
No,One year,3257,Yes,Yes,Female,DSL,65.6,No,Yes,Yes,No,No,Credit card (automatic),Yes,0,No,No,Yes,15,1010
No,One year,3258,No,Yes,Female,DSL,80.55,Yes,No,No,No,No,Credit card (automatic),Yes,0,Yes,Yes,Yes,60,4847.05
No,One year,3259,No,Yes,Male,DSL,52.7,No,No,Yes,No,No,Mailed check,Yes,0,No,No,No,56,3019.7
No,Two year,3260,No,No internet service,Female,No,20.85,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,8,161.65
Yes,Month-to-month,3261,No,Yes,Female,Fiber optic,80.1,No,No,No,No,No,Credit card (automatic),Yes,0,No,No,Yes,3,217.55
No,Month-to-month,3262,No,No,Female,DSL,52.15,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,No,49,2583.75
Yes,Month-to-month,3263,No,No,Female,Fiber optic,80.2,No,No,No,Yes,No,Electronic check,Yes,0,No,Yes,No,2,146.05
Yes,Month-to-month,3264,No,Yes,Female,Fiber optic,98.15,No,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,6,567.45
No,Two year,3265,No,Yes,Male,Fiber optic,114.95,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,70,7711.25
Yes,Month-to-month,3266,No,Yes,Male,Fiber optic,112.95,Yes,Yes,No,Yes,No,Mailed check,Yes,0,Yes,Yes,Yes,12,1384.75
No,One year,3267,No,Yes,Male,Fiber optic,104.45,No,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,Yes,Yes,52,5481.25
No,Two year,3268,No,Yes,Female,Fiber optic,113.65,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,72,8124.2
No,Two year,3269,No,No internet service,Female,No,20.6,No,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,40,827.3
Yes,Month-to-month,3270,No,No,Female,Fiber optic,70.9,No,No,No,No,No,Mailed check,Yes,0,No,No,No,1,70.9
Yes,Month-to-month,3271,No,Yes,Female,Fiber optic,86.85,No,No,No,Yes,No,Electronic check,Yes,1,No,Yes,No,3,220.95
No,Month-to-month,3272,No,No,Female,Fiber optic,91.55,No,No,No,Yes,No,Electronic check,Yes,1,Yes,Yes,No,40,3673.6
No,Month-to-month,3273,Yes,Yes,Male,DSL,49.85,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,1,49.85
No,One year,3274,No,No internet service,Male,No,19.8,No,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,30,576.65
Yes,Month-to-month,3275,Yes,No,Male,Fiber optic,99.85,No,No,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,23,2331.3
Yes,Month-to-month,3276,Yes,No,Male,Fiber optic,74.5,Yes,No,No,Yes,Yes,Electronic check,Yes,0,No,No,No,1,74.5
No,Month-to-month,3277,No,Yes,Female,Fiber optic,104.15,Yes,No,No,No,Yes,Electronic check,Yes,1,Yes,Yes,Yes,44,4495.65
Yes,Month-to-month,3278,No,Yes,Male,Fiber optic,109.15,Yes,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,Yes,65,6941.2
No,Month-to-month,3279,No,No,Female,DSL,48.2,No,No,Yes,Yes,No,Electronic check,Yes,1,No,No,No,7,340.35
No,Two year,3280,No,No internet service,Male,No,25.1,Yes,No internet service,No internet service,Yes,No,Credit card (automatic),Yes,1,No internet service,No internet service,No internet service,72,1789.9
No,Month-to-month,3281,No,No,Female,Fiber optic,100.15,Yes,No,No,Yes,No,Credit card (automatic),Yes,1,Yes,Yes,Yes,8,908.55
Yes,Month-to-month,3282,No,Yes,Female,DSL,65.2,Yes,No,No,Yes,No,Credit card (automatic),Yes,0,Yes,No,No,16,1043.35
Yes,Month-to-month,3283,Yes,Yes,Male,Fiber optic,99.5,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,1,Yes,Yes,No,66,6822.15
Yes,Month-to-month,3284,No,No,Male,Fiber optic,71.55,No,No,No,Yes,No,Mailed check,Yes,0,No,No,No,1,71.55
No,Month-to-month,3285,Yes,Yes,Male,DSL,55.9,No,No,Yes,No,No,Mailed check,Yes,0,No,No,No,3,157.55
Yes,Month-to-month,3286,No,Yes,Male,Fiber optic,93.9,Yes,No,Yes,No,Yes,Electronic check,Yes,0,Yes,No,No,53,5029.2
No,Month-to-month,3287,No,Yes,Male,DSL,64.4,No,No,No,Yes,Yes,Credit card (automatic),Yes,1,Yes,No,Yes,8,581.7
Yes,Two year,3288,No,Yes,Male,Fiber optic,108.4,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,Yes,Yes,69,7318.2
No,Month-to-month,3289,No,No,Female,Fiber optic,85.3,No,Yes,No,Yes,No,Mailed check,Yes,0,No,Yes,No,5,420.45
No,Two year,3290,Yes,Yes,Female,Fiber optic,107.45,Yes,No,Yes,No,Yes,Mailed check,Yes,0,Yes,Yes,Yes,72,7576.7
Yes,Month-to-month,3291,No,Yes,Female,DSL,48.75,No phone service,No,No,Yes,Yes,Bank transfer (automatic),No,0,Yes,Yes,No,13,633.4
Yes,Month-to-month,3292,No,No,Female,Fiber optic,85.65,Yes,No,No,Yes,No,Electronic check,Yes,0,No,Yes,No,4,321.65
No,Two year,3293,Yes,Yes,Female,DSL,91.3,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,54,4965
No,Two year,3294,No,Yes,Male,DSL,85.95,Yes,Yes,No,No,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,72,6151.9
Yes,Month-to-month,3295,No,Yes,Male,Fiber optic,106.7,Yes,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,12,1253.9
Yes,Month-to-month,3296,No,No,Male,DSL,25.15,No phone service,No,No,Yes,No,Electronic check,No,0,No,No,No,1,25.15
No,Month-to-month,3297,No,No,Male,DSL,45.2,No,No,No,No,No,Electronic check,Yes,1,No,No,No,1,45.2
Yes,One year,3298,No,Yes,Female,Fiber optic,110.35,Yes,Yes,No,No,Yes,Electronic check,Yes,0,Yes,Yes,Yes,54,5893.15
No,Two year,3299,Yes,Yes,Male,Fiber optic,79.2,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,No,69,5420.65
No,Two year,3300,No,No,Female,DSL,55.5,No,Yes,Yes,No,No,Credit card (automatic),Yes,0,No,No,No,48,2627.35
Yes,One year,3301,Yes,No,Female,Fiber optic,103.25,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,48,5037.55
No,Month-to-month,3302,No,No,Female,Fiber optic,90.25,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,No,Yes,8,743.75
No,Two year,3303,Yes,Yes,Male,DSL,91.25,Yes,Yes,Yes,Yes,Yes,Mailed check,Yes,0,Yes,Yes,Yes,71,6589.6
Yes,Month-to-month,3304,No,No,Male,DSL,47.8,No,No,Yes,Yes,No,Electronic check,Yes,0,No,No,No,2,92.45
No,One year,3305,No,No,Male,Fiber optic,100.9,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,67,6733.15
No,Month-to-month,3306,Yes,No,Male,Fiber optic,97.7,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,34,3410
No,Month-to-month,3307,No,No,Female,Fiber optic,69.85,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,3,199.85
No,One year,3308,Yes,No,Female,DSL,65.6,No,Yes,No,Yes,Yes,Mailed check,Yes,0,No,Yes,Yes,9,593.3
No,One year,3309,Yes,Yes,Male,Fiber optic,104.65,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,71,7288.4
No,Two year,3310,No,No,Male,Fiber optic,90.45,Yes,No,No,Yes,No,Credit card (automatic),Yes,0,No,Yes,Yes,57,5229.8
No,Two year,3311,No,Yes,Male,DSL,63.7,No phone service,Yes,Yes,Yes,No,Bank transfer (automatic),No,0,Yes,Yes,Yes,72,4464.8
No,Month-to-month,3312,Yes,Yes,Female,Fiber optic,104.5,No,No,Yes,Yes,Yes,Electronic check,Yes,1,Yes,Yes,Yes,48,5068.05
No,One year,3313,No,No internet service,Male,No,20.1,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,18,401.85
No,One year,3314,Yes,Yes,Male,Fiber optic,104.3,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,43,4451.85
No,Two year,3315,Yes,Yes,Female,DSL,93.25,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,72,6688.95
No,One year,3316,Yes,No,Male,DSL,73.45,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,35,2661.1
No,Month-to-month,3317,No,No internet service,Male,No,20.7,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,4,73.05
No,Two year,3318,Yes,No internet service,Female,No,25.25,Yes,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,49,1211.65
No,Two year,3319,Yes,Yes,Female,Fiber optic,100.5,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,0,No,Yes,No,71,7030.65
No,Month-to-month,3320,Yes,No,Male,Fiber optic,90.6,No,No,No,No,Yes,Electronic check,Yes,0,Yes,Yes,No,11,1020.2
No,Two year,3321,Yes,Yes,Male,DSL,89.4,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,63,5597.65
No,Month-to-month,3322,No,Yes,Female,Fiber optic,95.45,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,1,No,Yes,No,65,6223.3
No,Two year,3323,Yes,No internet service,Female,No,20.45,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,49,1024.65
Yes,Month-to-month,3324,No,Yes,Female,Fiber optic,98.6,Yes,No,No,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,No,29,2933.2
Yes,Month-to-month,3325,No,Yes,Female,Fiber optic,83.05,Yes,No,No,Yes,Yes,Electronic check,Yes,1,No,No,Yes,15,1258.3
No,Month-to-month,3326,Yes,No internet service,Female,No,19.95,No,No internet service,No internet service,Yes,Yes,Electronic check,Yes,0,No internet service,No internet service,No internet service,4,82.9
No,One year,3327,No,Yes,Female,Fiber optic,109.15,Yes,Yes,No,No,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,72,7789.6
No,Month-to-month,3328,No,Yes,Female,Fiber optic,85.7,No,No,No,Yes,Yes,Credit card (automatic),Yes,1,No,Yes,No,26,2067
No,Month-to-month,3329,No,Yes,Female,Fiber optic,102.05,Yes,No,No,No,Yes,Bank transfer (automatic),Yes,1,Yes,Yes,No,35,3452.55
No,One year,3330,No,No,Female,Fiber optic,94.7,Yes,Yes,No,No,No,Electronic check,Yes,0,Yes,No,Yes,57,5468.95
No,Month-to-month,3331,Yes,No,Male,DSL,64.4,Yes,Yes,No,No,Yes,Electronic check,Yes,0,Yes,No,No,28,1802.15
No,One year,3332,No,No internet service,Female,No,26.8,Yes,No internet service,No internet service,Yes,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,25,733.55
No,One year,3333,No,Yes,Female,DSL,66.05,No,No,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,Yes,No,47,3021.45
No,Month-to-month,3334,Yes,No,Female,DSL,65.2,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,0,No,No,Yes,57,3687.85
